,,,,,,,,,,,,,,
"Reference"," Quantity"," Value"," Footprint","Manufacture","Part","Manufacture URL","Distributor / shop","order number","price","Single Board 
Price","Min quantity
For board count","package 
Size","Order 
Quantity","price sum"
"C1 C2 C3 C4 ",4,"100nF","Capacitors_SMD:C_0603","Murata","GRM188R71H104KA93D",,"mouser","81-GRM39X104K50D","0,019 €","0,08 €",12,1,15,"0,29 €"
"C5 ",1,"47uF 6.3V","Capacitors_SMD:C_0603","Murata","ZRB18AR60J476ME01L",,"mouser","81-ZRB18AR60J476ME1L ","0,349 €","0,35 €",3,1,5,"1,75 €"
"D1.1  D1.2  D1.3  D1.4  D2.1  D2.2  D2.3  D2.4  D3.1  D3.2  D3.3  D3.4  D4.1  D4.2  D4.3  D4.4 ",16,"LED_1.1 .. LED_4.4","nichia:LED_NSSM124_wViaHeatSinkBig","Nichia","NSSM124D",,"Lumitronix",30201,"0,890 €","14,24 €",48,1,50,"44,50 €"
"HS1 ",1,"Heatsink","Oddities:Dummy_Empty","Fischer Elektronik",10037097,"http://www.fischerelektronik.de/web_fischer/de_DE/K%C3%BChlk%C3%B6rper/B01/K%C3%BChlk%C3%B6rper%20f%C3%BCr%20PGA/PR/ICKPGA14x14x12_/$productCard/parameters/index.xhtml","Fischer Elektronik","custom request","11,600 €","11,60 €",3,39,3,"34,80 €"
"J1 ",1,"signal_in","Socket_Strip_Straight_1x02_Pitch2.54mm","-",,,,,,"0,00 €",3,,,"0,00 €"
"J2 ",1,"power","Socket_Strip_Straight_1x06_Pitch2.54mm","-",,,,,,"0,00 €",3,,,"0,00 €"
"J6 ",1,"signal_out","Socket_Strip_Straight_1x02_Pitch2.54mm","-",,,,,,"0,00 €",3,,,"0,00 €"
"MK1 MK2 ",2,"Mounting_Hole","MountingHole_3.2mm_M3_ISO7380_Pad","Wegertseder","2588-408","https://www.wegertseder.com/ArticleDetails.aspx?AKNUM=2588","Wegerseder","2588-408","0,052 €","0,10 €",6,100,100,"5,24 €"
"R1 R2 R3 R4 ",4,"2k7 1%","Resistors_SMD:R_0603","Vishay","CRCW06032K70FKEB",,"mouser","71-CRCW06032K70FKEB ","0,009 €","0,04 €",12,1,15,"0,14 €"
"U1 U2 U3 U4 ",4,"TLC5971RGER","Housings_SSOP:HTSSOP-20-1EP_4.4x6.5mm_Pitch0.65mm_ThermalVias_TI_R-PDSO-G20","Texas Instruments","TLC5971PWPR","http://www.ti.com/product/TLC5971/description","mouser","595-TLC5971PWPR","2,430 €","9,72 €",12,1,12,"29,16 €"
,,,,,,,,,,,,,,
"PCB",1,"-","-","aisler.net",,"https://go.aisler.net/s-light/ledboard_4x4_16bit/main-pcb","aisler.net","-","4,320 €","4,32 €",3,3,3,"12,96 €"
,,,,,,,,,,,,,,
,,,,,,,,,,,108,,,
,,,,,,,,,,,,,,
,,,,,,,"Sum Board",,,"40,45 €","121,34 €",,,"128,825"
,,,,,,,"Board Count",3,,,,,,
,,,,,,,,,,,,,,
"Additional Things",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,"Stencil",,"aisler.net","https://go.aisler.net/s-light/ledboard_4x4_16bit/main-pcb","11,550 €",,,,1,"11,55 €"
,,,,,"Squeegee",,"Beta-estore","RK-10009","1,900 €",,,,1,"1,90 €"
,,,,,"PCB Holder Set - 1.6mm thick",,"Beta-estore","RK-10007","4,900 €",,,,1,"4,90 €"
,,,,,"Solder paste ISO-Cream ""Clear""",,"Beta-estore","RK-10753","23,400 €",,,,1,"23,40 €"
,,,,,,,,,,,,,"TOTAL","170,58 €"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,"Single Board","56,86 €"
