Temperature,Preheat,Heating,Cooling,Reached,
,28,No,No,No,No
,28,No,No,No,No
,28,No,No,No,No
,28,No,No,No,Yes
,28,No,No,No,Yes
,28,No,No,No,No
,28,No,No,No,No
,28,No,Yes,No,No
,28,No,Yes,No,No
,28,No,Yes,No,No
,28,No,Yes,No,No
,28,No,Yes,No,No
,28,No,Yes,No,No
,28,No,Yes,No,No
,28,No,Yes,No,No
,28,No,Yes,No,No
,28,No,Yes,No,No
,29,No,Yes,No,No
,29,No,Yes,No,No
,29,No,Yes,No,No
,30,No,Yes,No,No
,30,No,Yes,No,No
,31,No,Yes,No,No
,31,No,Yes,No,No
,32,No,Yes,No,No
,32,No,Yes,No,No
,32,No,Yes,No,No
,34,No,Yes,No,No
,34,No,Yes,No,No
,34,No,Yes,No,No
,36,No,Yes,No,No
,36,No,Yes,No,No
,37,No,Yes,No,No
,38,No,Yes,No,No
,38,No,Yes,No,No
,39,No,Yes,No,No
,39,No,Yes,No,No
,40,No,Yes,No,No
,41,No,Yes,No,No
,41,No,Yes,No,No
,43,No,Yes,No,No
,43,No,Yes,No,No
,44,No,Yes,No,No
,45,No,Yes,No,No
,45,No,Yes,No,No
,46,No,Yes,No,No
,48,No,Yes,No,No
,48,No,Yes,No,No
,48,No,Yes,No,No
,48,No,Yes,No,No
,50,No,Yes,No,Yes
,51,No,Yes,No,Yes
,51,No,No,No,Yes
,52,No,No,No,Yes
,52,No,No,No,Yes
,53,No,No,No,Yes
,55,No,No,No,Yes
,55,No,No,No,Yes
,55,No,No,No,Yes
,55,No,No,No,Yes
,56,No,No,No,Yes
,56,No,No,No,Yes
,56,No,No,No,Yes
,57,No,No,No,Yes
,57,No,No,No,Yes
,57,No,No,No,Yes
,58,No,No,No,Yes
,58,No,No,No,Yes
,58,No,No,No,Yes
,58,No,No,No,Yes
,58,No,No,No,Yes
,58,No,No,No,Yes
,58,No,No,No,Yes
,58,No,No,No,Yes
,59,No,No,No,Yes
,59,No,No,No,Yes
,59,No,No,No,Yes
,60,No,No,No,Yes
,60,No,No,No,Yes
,59,No,No,No,Yes
,59,No,No,No,Yes
,60,No,Yes,No,Yes
,60,No,Yes,No,No
,60,No,Yes,No,No
,60,No,Yes,No,No
,60,No,Yes,No,No
,60,No,Yes,No,No
,61,No,Yes,No,No
,61,No,Yes,No,No
,61,No,Yes,No,No
,61,No,Yes,No,No
,62,No,Yes,No,No
,63,No,Yes,No,No
,63,No,Yes,No,No
,64,No,Yes,No,No
,65,No,Yes,No,No
,65,No,Yes,No,No
,66,No,Yes,No,No
,66,No,Yes,No,No
,67,No,Yes,No,No
,68,No,Yes,No,No
,68,No,Yes,No,No
,69,No,Yes,No,No
,69,No,Yes,No,No
,70,No,Yes,No,No
,72,No,Yes,No,No
,72,No,Yes,No,No
,72,No,Yes,No,No
,72,No,Yes,No,No
,74,No,Yes,No,No
,75,No,Yes,No,No
,75,No,Yes,No,No
,75,No,Yes,No,No
,76,No,Yes,No,No
,76,No,Yes,No,No
,78,No,Yes,No,No
,78,No,Yes,No,No
,79,No,Yes,No,No
,80,No,Yes,No,No
,80,No,Yes,No,No
,81,No,Yes,No,No
,81,No,Yes,No,No
,83,No,Yes,No,No
,84,No,Yes,No,No
,84,No,Yes,No,No
,85,No,Yes,No,No
,87,No,Yes,No,No
,87,No,Yes,No,No
,88,No,Yes,No,No
,88,No,Yes,No,No
,90,No,Yes,No,No
,90,No,Yes,No,No
,90,No,Yes,No,No
,92,No,Yes,No,No
,92,No,Yes,No,No
,94,No,Yes,No,No
,95,No,Yes,No,No
,95,No,Yes,No,No
,96,No,Yes,No,No
,96,No,Yes,No,No
